abandon|từ bỏ, bỏ rơi|desert, forsake, leave
nostalgic|hoài niệm, luyến tiếc|sentimental, wistful, regretful
nostril|lỗ mũi|opening, airway
not|không|negative, refusal
notability|sự đáng chú ý, người nổi tiếng|fame, prominence, celebrity
notary|công chứng viên|official, certifier, verifier
notation|sự ghi chú, ký hiệu|note, symbol, record
notebook|sổ tay|notepad, journal, diary
nothing|không gì cả|zero, naught, emptiness
noticeboard|bảng thông báo|bulletin board, billboard
noun|danh từ|word, term
nourishing|bổ dưỡng|nutritious, healthy, wholesome
now|bây giờ, ngay lúc này|currently, instantly, today
nowadays|ngày nay|currently, today, now
nowhere|không nơi nào|no place
nuclear|thuộc hạt nhân|atomic, central, core
numerate|biết tính toán|mathematical, calculating
numerical|thuộc chữ số|numeric, statistical, mathematical
nun|nữ tu sĩ|sister, abbess, prioress
nurse|y tá, chăm sóc|caregiver, tend, treat
nursery|nhà trẻ, vườn ươm|kindergarten, crèche, greenhouse
nut|hạt dẻ, ốc vít|seed, kernel, fastener
nutrient|chất dinh dưỡng|food, sustenance, nourishment
nutshell|vỏ hạt|casing, cover
nylon|vải ni lông|fabric, synthetic, plastic

oaf|người ngốc nghếch, vụng về|lout, dunce, blockhead, idiot, fool
oasis|ốc đảo, nơi trú ẩn an toàn|haven, sanctuary, refuge, retreat
oath|lời thề, lời tuyên thệ|vow, pledge, promise, bond, word
obdurate|bướng bỉnh, cứng rắn|stubborn, obstinate, inflexible, unyielding, callous
obedience|sự vâng lời, tuân thủ|compliance, submission, deference, conformity
obedient|vâng lời, ngoan ngoãn|docile, submissive, compliant, dutiful, tractable
obeisance|sự cúi chào, tôn kính|bow, curtsy, homage, deference, respect
obese|béo phì, quá tải trọng|fat, corpulent, stout, plump, overweight
obesity|bệnh béo phì|fatness, corpulence, stoutness, overweight
obey|vâng lời, tuân theo|comply, submit, follow, mind, heed
obfuscate|làm mờ mịt, làm khó hiểu|confuse, blur, muddle, bewilder, obscure
object|vật thể, mục tiêu, phản đối|item, article, goal, target, oppose, protest
objection|sự phản đối, kháng nghị|protest, disapproval, opposition, complaint, demur
objective|mục tiêu, khách quan|goal, target, purpose, impartial, fair, unbiased
obligation|nghĩa vụ, bổn phận|duty, responsibility, requirement, compulsion, bond
obligatory|bắt buộc, cưỡng bách|compulsory, mandatory, required, binding, requisite
oblige|bắt buộc, làm ơn|compel, force, require, accommodate, favor
obliging|hay giúp người, tử tế|helpful, kind, accommodating, considerate, friendly
obliterate|xóa sạch, phá hủy hoàn toàn|erase, expunge, wipe out, destroy, demolish
oblivion|sự quên lãng, vô thức|forgetfulness, unwariness, unconsciousness, obscurity
oblivious|thờ ơ, không để ý đến|unaware, unconscious, heedless, unmindful, blind
obnoxious|khó chịu, đáng ghét|offensive, loathsome, hateful, obnoxious, detestable
obscene|tục tĩu, khiêu dâm|indecent, lewd, vulgar, offensive, coarse
obscenity|sự tục tĩu|indecency, lewdness, vulgarity, coarseness
obscure|vô danh, mờ mịt, che khuất|unknown, vague, unclear, dim, hide, conceal
obsequious|khúm núm, xu nịnh|fawning, servile, sycophantic, cringing, submissive
observable|có thể nhìn thấy, đáng chú ý|noticeable, visible, perceptible, detectable, clear
observance|sự tuân thủ, lễ nghi|compliance, adherence, celebration, rite, ritual
observant|tinh mắt, tuân thủ nghiêm túc|watchful, attentive, alert, mindful, sharp
observation|sự quan sát, theo dõi|watching, scrutiny, monitoring, remark, comment
observe|quan sát, tuân theo|watch, witness, notice, comply, follow
observer|người quan sát|spectator, witness, onlooker, monitor
obsession|sự ám ảnh, cuồng si|fixation, mania, passion, infatuation, craze
obsolete|cổ xưa, lỗi thời|outdated, outmoded, antique, old, archaic
obstacle|trở ngại, rào cản|barrier, hurdle, impediment, hindrance, obstruction
obstinate|bướng bỉnh, ngoan cố|stubborn, obdurate, unyielding, headstrong, mulish
obstruct|cản trở, chặn đường|block, hinder, impede, hamper, clog
obstruction|sự cản trở, chướng ngại vật|obstacle, barrier, hindrance, blockage, impediment
obtain|đạt được, giành được|acquire, gain, get, procure, attain
obtainable|có thể đạt được|accessible, available, procurable, ready
obtrusive|lộ liễu, hay xen vào|noticeable, intrusive, conspicuous, meddlesome, blatant
obtuse|ngốc nghếch, đần độn|dull, stupid, slow-witted, unintelligent
obviate|loại bỏ, ngăn chặn trước|prevent, remove, preclude, eliminate, forestall
obvious|rõ ràng, hiển nhiên|clear, evident, apparent, manifest, plain
occasion|dịp, cơ hội, nguyên nhân|event, occurrence, opportunity, cause, reason
occasional|thỉnh thoảng, đôi khi|infrequent, sporadic, periodic, irregular
occult|bí ẩn, thần bí|mysterious, magical, secret, hidden, mystical
occupant|người cư ngụ, người sở hữu|tenant, resident, occupier, inhabitant, holder
occupation|nghề nghiệp, sự chiếm đóng|job, profession, career, trade, invasion, tenure
occupy|cư ngụ, chiếm giữ|inhabit, reside in, fill, take up, engage
occurrence|sự việc xảy ra, biến cố|event, incident, happening, episode, phenomenon
odd|kỳ lạ, kỳ quặc, lẻ (số)|strange, weird, peculiar, bizarre, uneven
oddity|sự kỳ lạ, đồ dị biệt|eccentricity, peculiarity, abnormality, curiosity, quirk
odious|đáng ghét, ghê tởm|hateful, detestable, loathsome, repulsive, offensive
odium|sự căm ghét, tiếng xấu|hatred, detestation, disgust, disgrace, shame
odor|mùi hương, mùi thối|scent, smell, aroma, fragrance, stench
odoriferous|thơm tho, có mùi mạnh|fragrant, aromatic, scented, perfumed
offend|xúc phạm, làm bực mình|insult, affront, displease, annoy, irritate
offense|sự xúc phạm, tội lỗi|insult, affront, crime, misdemeanor, sin
offensive|xúc phạm, công kích|insulting, rude, derogatory, aggressive, unpleasant
offer|đề nghị, ban tặng|propose, suggest, tender, provide, present
offhand|ngay lập tức, không chuẩn bị trước|impromptu, spontaneous, casual, extempore
office|văn phòng, chức vụ|bureau, workplace, post, position, role
officious|hay hạch sách, săm soi|meddlesome, intrusive, prying, self-important
offset|bù đắp, đền bù|counteract, neutralize, counterbalance, compensate
offshoot|nhánh, công ty con|branch, derivative, byproduct, spin-off
offspring|con cái, dòng dõi|children, descendants, issue, progeny, seed
often|thường xuyên|frequently, regularly, repeatedly, routinely
ogle|nhìn đắm đuối, liếc mắt|stare, gaze, leer, eye
oily|nhiều dầu, bợm bãi|greasy, fatty, smooth, unctuous, sycophantic
ointment|thuốc mỡ, kem bôi|balm, salve, cream, lotion
old|già, cũ, cổ xưa|aged, elderly, ancient, antique, obsolete
old-fashioned|lỗi thời, cổ hủ|outdated, archaic, outmoded, antiquated
omen|điềm báo, dấu hiệu|sign, signal, portent, augury, indication
ominous|đáng lo ngại, điềm xấu|threatening, menacing, sinister, foreboding
omission|sự bỏ sót, sơ suất|exclusion, exception, deletion, lapse, oversight
omit|bỏ sót, loại trừ|exclude, leave out, skip, drop, delete
omnipotent|vạn năng, toàn năng|almighty, all-powerful, supreme
omnipresent|bầu bạn khắp nơi, có mặt khắp nơi|ubiquitous, pervasive, universal
omniscient|thông suốt mọi thứ, toàn tri|all-knowing, wise, knowledgeable
onerous|nặng nề, nhọc nhằn|burdensome, heavy, arduous, difficult, taxing
onlooker|người đứng xem|spectator, observer, witness, bystander
only|duy nhất, chỉ có|sole, single, unique, exclusive, merely
onset|sự bắt đầu, sự tấn công|beginning, start, commencement, attack, assault
onslaught|cuộc tấn công dữ dội|attack, assault, onset, charge, raid
onus|trách nhiệm, gánh nặng|burden, load, responsibility, duty, obligation
onward|tiến về phía trước|forward, ahead, progressive
ooze|rò rỉ, chảy rỉ|seep, leak, drip, exude, drain
opaque|mờ đục, khó hiểu|cloudy, muddy, blurred, obscure, cryptic
open|mở, cởi mở, thật thà|unlocked, accessible, candid, frank, honest
open-handed|hào phóng, rộng lượng|generous, lavish, bountiful, charitable
opening|sự mở đầu, vị trí trống|beginning, launch, vacancy, gap, aperture
operate|vận hành, phẫu thuật|run, function, work, manage, perform
operation|sự vận hành, chiến dịch|functioning, process, campaign, mission, action
operative|có hiệu lực, thợ máy|effective, active, valid, worker, artisan
opiate|thuốc ngủ, chất gây nghiện|narcotic, sedative, drug
opinion|ý kiến, quan điểm|belief, view, sentiment, judgment, notion
opinionated|ngoan cố, bảo thủ|stubborn, dogmatic, biased, obstinate
opponent|đối thủ, địch thủ|adversary, rival, enemy, foe, competitor
opportune|thích hợp, đúng lúc|timely, fitting, appropriate, suitable, seasonable
opportunity|cơ hội, thời cơ|chance, opening, break, turn
oppose|phản đối, chống lại|resist, fight, object to, defy, combat
opposite|đối diện, trái ngược|contrary, reverse, inverse, antithesis, facing
opposition|sự phản đối, phe đối lập|resistance, hostility, objection, antonym
oppress|áp bức, đè nén|persecute, tyrannize, subjugate, crush, depress
oppression|sự áp bức, bóc lột|tyranny, persecution, subjugation, cruelty
oppressive|ngột ngạt, độc tài|tyrannical, cruel, harsh, stifling, muggy
opprobrious|nhục mạ, sỉ nhục|insulting, abusive, derogatory, shameful
opprobrium|sự sỉ nhục, nhục nhã|disgrace, shame, dishonor, infamy, obloquy
optimistic|lạc quan|hopeful, confident, positive, buoyant
optimum|tối ưu, tốt nhất|ideal, best, optimal, peak, prime
option|sự lựa chọn|choice, alternative, preference, selection
optional|tùy chọn, không bắt buộc|voluntary, elective, non-mandatory, discretionary
opulence|sự giàu sang, xa xỉ|wealth, riches, luxury, affluence, prosperity
opulent|giàu có, xa hoa|wealthy, rich, affluent, luxurious, lavish
opus|tác phẩm nghệ thuật|work, creation, masterpiece, composition
oracle|lời tiên tri, nhà tiên tri|prophecy, seer, prophet, sage
oral|bằng lời nói, bằng miệng|spoken, verbal, vocal, unwritten
oration|bài diễn văn trang trọng|speech, address, discourse, lecture
orator|nhà hùng biện, diễn giả|speaker, lecturer, declaimer
orbit|quỹ đạo, phạm vi ảnh hưởng|path, circuit, sphere, domain, range
orchestrate|sắp đặt, phối hợp|organize, coordinate, arrange, stage, manage
ordain|ra lệnh, phong chức|decree, command, appoint, consecrate
ordeal|thử thách khắc nghiệt|trial, tribulation, hardship, nightmare, test
order|thứ tự, mệnh lệnh, đặt hàng|sequence, command, decree, request, purchase
orderly|ngăn nắp, hòa bình|tidy, methodical, systematic, peaceful, calm
ordinance|sắc lệnh, quy định|decree, law, regulation, statute, rule
ordinary|bình thường, tầm thường|usual, common, conventional, mediocre, normal
organ|cơ quan, đàn phong cầm|device, agency, instrument, mouthpiece
organize|tổ chức, sắp xếp|arrange, structure, systematize, order, line up
orgiastic|quá độ, cuồng loạn|wild, frenzied, debauched, unrestrained
orient|định hướng, thích nghi|align, direct, adapt, adjust, familiarize
orifice|lỗ, lỗ mở|opening, aperture, hole, vent, mouth
origin|nguồn gốc, căn nguyên|source, root, beginning, genesis, cause
original|gốc, độc đáo, mới mẻ|initial, primary, innovative, creative, novel
originality|sự độc đáo, tính sáng tạo|creativity, freshness, novelty, genius
originate|bắt nguồn, sáng chế|begin, arise, stem, invent, create
oak|cây sồi|tree, hardwood
oar|mái chèo|paddle, pole
oat|yến mạch|grain, cereal
oatmeal|bột yến mạch|porridge, cereal
obsess|ám ảnh|preoccupy, haunt, consume
occur|xảy ra|happen, take place, arise
ocean|đại dương|sea, deep, main
octopus|bạch tuộc|sea creature, mollusk
officer|sĩ quan, viên chức|official, commander, cop
official|chính thức, viên chức|authorized, formal, officer
offline|ngoại tuyến|disconnected, unreachable
oil|dầu, dầu mỏ|petroleum, grease, fuel
okay|đồng ý, được|fine, alright, acceptable
olive|quả ô liu, cây ô liu|fruit, tree
omelet|món trứng ốp la|egg dish
once|một lần, đã từng|formerly, previously, one time
one|một|single, solitary
onion|củ hành|vegetable, bulb
online|trực tuyến|connected, internet-based
onto|lên trên|upon, to
opera|nhạc kịch|musical performance, theater
operator|người điều hành|driver, controller, worker
opt|chọn, quyết định|choose, decide, select
orange|quả cam, màu cam|citrus, fruit, color
orchard|vườn cây ăn quả|grove, plantation, fruit garden
orchestra|dàn nhạc|band, ensemble, symphony
organic|hữu cơ|natural, biological, eco-friendly
organization|tổ chức, cơ quan|association, institution, group
